row	col	prnp	hprt	ratio	dose	compound	normed
G	10	6694445	3194353	2.095712339869764	23.4375	1919	0.9600509503182494
G	11	5100003	2123302	2.401920687683617	23.4375	1919	1.100325743629024
G	12	6274596	2844727	2.205693551613213	23.4375	1919	1.010433612500795
H	1	4828796	2061978	2.3418271193970064	0	1035	1.072796732970452
H	2	4422964	2019883	2.1897129685234242	0	1035	1.0031128682888557
H	3	5646355	2685484	2.102546505583351	0	1035	0.9631816983522897
H	4	5546550	2529596	2.1926623856141454	0	1682	1.0044640034742351
H	5	5259932	2410615	2.1819875840812406	0	1682	0.9995738507747663
H	6	6642847	3139984	2.1155671493867483	0	1682	0.9691464871352693
H	7	6192464	2325790	2.662520691893937	0	1862	1.2197072431484688
H	8	6143524	2912634	2.1092674191127343	0	1862	0.9662605652836608
H	9	4366532	1705592	2.5601269236722497	0	1862	1.1728004074068774
H	10	3957498	2382584	1.6610109024487698	0	1919	0.7609131582839335
H	12	3760175	1984401	1.8948665113553158	0	1919	0.8680429848811918
