row	col	prnp	hprt	ratio	dose	compound	normed
D	8	1893403	2898932	0.6531381212115358	187.5	2705	0.6275034143579913
D	9	1671902	2794711	0.5982378857778139	187.5	2705	0.5747579321010147
D	10	2697476	2435406	1.1076083412786204	187.5	2226	1.0641363493444331
D	11	2845439	3919290	0.7260087924088291	187.5	2226	0.6975140193094213
D	12	2514878	2817529	0.8925828270090566	187.5	2226	0.8575502690097745
E	1	2799136	3645632	0.7678054175517441	93.75	2440	0.7376701886311102
E	2	3401359	3741602	0.9090648871793419	93.75	2440	0.873385432655288
E	3	2666853	3366589	0.7921528288721909	93.75	2440	0.761062000007881
E	4	3257191	3462703	0.9406498333816097	93.75	2683	0.9037307163564937
E	5	2728178	3630446	0.7514718577276731	93.75	2683	0.7219776969124932
E	6	2966057	5023526	0.590433293268513	93.75	2683	0.5672596583236784
E	7	1877171	2320810	0.8088430332513218	93.75	2705	0.7770971385093824
E	8	3844503	2686443	1.4310755895434968	93.75	2705	1.374907985736875
E	9	2722878	3344316	0.8141808369783238	93.75	2705	0.7822254413217392
E	10	3665753	3226379	1.1361817690978029	93.75	2226	1.0915883123123724
E	11	3392227	3131092	1.0834006155041116	93.75	2226	1.0408787410621776
E	12	4302035	2055261	2.0931818391922	93.75	2226	2.011027542732942
F	1	2015285	2633748	0.765177610006728	46.875	2440	0.7351455186520949
F	2	3166698	2456055	1.2893432761074162	46.875	2440	1.2387384563255102
F	3	4052312	2722378	1.488519228409868	46.875	2440	1.4300970465972818
F	4	3638178	2665396	1.364967156850239	46.875	2683	1.3113942114131139
F	5	3422897	3179361	1.0765990398699612	46.875	2683	1.0343441172286665
F	6	3723556	6442463	0.5779708785289105	46.875	2683	0.5552863749609804
F	7	3569265	4043877	0.8826344124710025	46.875	2705	0.8479923150528108
F	8	2832088	2517298	1.1250507488584982	46.875	2705	1.0808941681817326
F	9	3156908	3440020	0.9177004784855902	46.875	2705	0.8816820897538192
F	10	2862889	2998748	0.9546947592795393	46.875	2226	0.9172243996512426
F	11	3248886	2094742	1.550971909667157	46.875	2226	1.4900985523309638
F	12	3800090	1942076	1.9567153911587394	46.875	2226	1.8799172012825622
G	1	2844568	3055408	0.9309944858428072	23.4375	2440	0.8944543269517948
G	2	3624347	3264513	1.1102259356908672	23.4375	2440	1.06665120704106
G	3	4497490	3023581	1.4874713129894652	23.4375	2440	1.4290902603098097
G	4	3362196	4080635	0.8239394113906292	23.4375	2683	0.7916010060975777
G	5	3018335	2235573	1.3501393155132935	23.4375	2683	1.297148340954301
G	6	3367387	4480707	0.7515302830557767	23.4375	2683	0.722033829132738
G	7	3049422	2580504	1.1817156648468672	23.4375	2705	1.1353350698872602
G	8	3546744	2598838	1.3647422424945304	23.4375	2705	1.311178124613765
G	9	3228398	2342929	1.3779324938997297	23.4375	2705	1.323850678127637
G	10	2734278	3863046	0.7078036347483307	23.4375	2226	0.6800233872059119
G	11	2730365	3250540	0.8399727429903955	23.4375	2226	0.807005053106386
G	12	10379	14626	0.7096266921919868	23.4375	2226	0.681774892336776
H	1	3251797	2054339	1.5828921127428335	0	2440	1.5207659345683269
H	2	3284313	3398791	0.9663180230852677	0	2440	0.9283914675151562
H	3	2953607	3194682	0.9245386551775733	0	2440	0.8882518781076869
H	4	3217014	3321168	0.9686393461577373	0	2683	0.9306216820846268
H	5	2840069	3235040	0.8779084648103269	0	2683	0.8434518538596253
H	6	3757441	5686633	0.6607496914254886	0	2683	0.6348162416800609
H	7	3029700	3735906	0.8109679419128853	0	2705	0.7791386476435556
H	8	3127526	3544769	0.8822933172796309	0	2705	0.8476646073440497
H	9	2939302	2265112	1.2976409113544938	0	2705	1.2467104216411775
H	10	2600559	2694634	0.965088023085881	0	2226	0.9272097431995646
H	11	3106561	2305052	1.3477184028820175	0	2226	1.2948224455691562
H	12	15741	13058	1.2054679123908716	0	2226	1.1581550767870132
