 Run ID	Sample No.	Animal ID	Group	Dose (mg)	Matrix	Nominal Timepoint (Day)	LLOQ (ng/g)	Concentration (ng/g)	Dilution
AN423.0-24_01_AB01	192	402	4	200	Brain, hippocampus (BRHI)	2	20	151.7	1
AN423.0-24_01_AB01	193	403	4	200	Brain, hippocampus (BRHI)	2	20	184.4	1
AN423.0-24_01_AB01	194	404	4	200	Brain, hippocampus (BRHI)	2	20	3,977.5	1
AN423.0-24_01_AB01	195	406	4	200	Brain, hippocampus (BRHI)	29	20	40.0	1
AN423.0-24_01_AB01	196	451	4	200	Brain, hippocampus (BRHI)	2	20	2,233.9	1
AN423.0-24_01_AB01	197	452	4	200	Brain, hippocampus (BRHI)	2	20	323.9	1
AN423.0-24_01_AB01	203	456	4	200	Brain, hippocampus (BRHI)	29	20	68.3	1
AN423.0-24_01_AB01	204	302	3	60	Spinal Cord, cervical	2	20	23,121.2	10
AN423.0-24_01_AB01	205	305	3	60	Spinal Cord, cervical	29	20	4,587.0	10
AN423.0-24_01_AB01	206	306	3	60	Spinal Cord, cervical	29	20	4,558.9	10
AN423.0-24_01_AB01	207	352	3	60	Spinal Cord, cervical	2	20	22,970.3	10
AN423.0-24_01_AB01	208	355	3	60	Spinal Cord, cervical	29	20	11,203.0	10
AN423.0-24_01_AB01	209	356	3	60	Spinal Cord, cervical	29	20	9,875.3	10
AN423.0-24_01_AB01	210	401	4	200	Spinal Cord, cervical	2	20	63,768.9	10
AN423.0-24_01_AB01	211	405	4	200	Spinal Cord, cervical	29	20	19,312.9	10
AN423.0-24_01_AB01	212	453	4	200	Spinal Cord, cervical	2	20	54,917.1	10
AN423.0-24_01_AB01	213	454	4	200	Spinal Cord, cervical	2	20	82,577.6	10
AN423.0-24_01_AB01	214	455	4	200	Spinal Cord, cervical	29	20	19,507.5	10
AN423.0-24_01_AB01	215	302	3	60	Spinal Cord, lumbar	2	20	68,494.5	10
AN423.0-24_01_AB01	216	305	3	60	Spinal Cord, lumbar	29	20	7,133.1	10
AN423.0-24_01_AB01	217	306	3	60	Spinal Cord, lumbar	29	20	11,396.4	10
AN423.0-24_01_AB01	218	352	3	60	Spinal Cord, lumbar	2	20	61,116.0	10
AN423.0-24_01_AB01	219	355	3	60	Spinal Cord, lumbar	29	20	70,278.8	10
AN423.0-24_01_AB01	220	356	3	60	Spinal Cord, lumbar	29	20	46,163.2	10
AN423.0-24_01_AB05	58	401	4	200	Spinal Cord, lumbar	2	20	209,582.7	100
AN423.0-24_01_AB05	50	405	4	200	Spinal Cord, lumbar	29	20	32,964.2	10
AN423.0-24_01_AB05	59	453	4	200	Spinal Cord, lumbar	2	20	111,560.3	100
AN423.0-24_01_AB05	60	454	4	200	Spinal Cord, lumbar	2	20	386,543.6	100
AN423.0-24_01_AB05	51	455	4	200	Spinal Cord, lumbar	29	20	46,837.8	10
AN423.0-24_01_AB01	231	302	3	60	Brain, frontal cortex (BRFC)	2	20	45,563.0	10
AN423.0-24_01_AB01	232	305	3	60	Brain, frontal cortex (BRFC)	29	20	11,275.2	10
AN423.0-24_01_AB01	233	306	3	60	Brain, frontal cortex (BRFC)	29	20	16,000.3	10
AN423.0-24_01_AB01	234	352	3	60	Brain, frontal cortex (BRFC)	2	20	23,579.5	10
AN423.0-24_01_AB01	235	355	3	60	Brain, frontal cortex (BRFC)	29	20	23,630.3	10
AN423.0-24_01_AB01	236	356	3	60	Brain, frontal cortex (BRFC)	29	20	14,675.9	10
AN423.0-24_01_AB01	237	401	4	200	Brain, frontal cortex (BRFC)	2	20	95,317.2	10
AN423.0-24_01_AB01	238	405	4	200	Brain, frontal cortex (BRFC)	29	20	55,839.9	10
AN423.0-24_01_AB01	239	453	4	200	Brain, frontal cortex (BRFC)	2	20	59,517.9	10
AN423.0-24_01_AB01	240	454	4	200	Brain, frontal cortex (BRFC)	2	20	70,020.7	10
AN423.0-24_01_AB01	241	455	4	200	Brain, frontal cortex (BRFC)	29	20	27,454.3	10
AN423.0-24_01_AB01	242	302	3	60	Brain, hippocampus (BRHI)	2	20	34,843.0	10
AN423.0-24_01_AB01	243	305	3	60	Brain, hippocampus (BRHI)	29	20	1,022.8	10
AN423.0-24_01_AB01	244	306	3	60	Brain, hippocampus (BRHI)	29	20	2,100.9	10
AN423.0-24_01_AB01	245	352	3	60	Brain, hippocampus (BRHI)	2	20	16,669.3	10
AN423.0-24_01_AB01	246	355	3	60	Brain, hippocampus (BRHI)	29	20	7,823.1	10
AN423.0-24_01_AB01	247	356	3	60	Brain, hippocampus (BRHI)	29	20	7,858.2	10
AN423.0-24_01_AB01	248	401	4	200	Brain, hippocampus (BRHI)	2	20	54,859.1	10
AN423.0-24_01_AB01	249	405	4	200	Brain, hippocampus (BRHI)	29	20	22,989.6	10
