Run ID	Sample No.	Animal ID	Group	core vs recovery	Dose (mg)	Sex	Matrix	Type of Matrix Specimen	Study Day	Collection Date	Nominal Time Point (hours)	LLOQ (ng/mL)	Concentration (ng/mL)
AN411.0-24_01_AB03	161	251	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	150	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	81	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	288.6
AN411.0-24_01_AB01	99	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	139.2
AN411.0-24_01_AB01	112	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	82.4
AN411.0-24_01_AB01	131	252	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	30.3
AN411.0-24_01_AB03	162	252	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	1.3
AN411.0-24_01_AB03	151	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	82	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	832.1
AN411.0-24_01_AB01	100	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	140.9
AN411.0-24_01_AB01	119	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	31.1
AN411.0-24_01_AB01	132	253	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	10
AN411.0-24_01_AB03	163	253	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	152	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	83	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	184.7
AN411.0-24_01_AB01	101	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	292.2
AN411.0-24_01_AB01	120	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	58.3
AN411.0-24_01_AB01	133	254	2	core	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	12.1
AN411.0-24_01_AB03	164	254	2	core	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	153	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	84	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	351.5
AN411.0-24_01_AB01	102	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	177
AN411.0-24_01_AB01	121	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	28.1
AN411.0-24_01_AB01	134	255	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	5.5
AN411.0-24_01_AB03	165	255	2	recovery	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	169	255	2	recovery	20	F	Plasma	n.a.	3	18-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	178	255	2	recovery	20	F	Plasma	n.a.	4	19-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	154	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0	1	0.5
AN411.0-24_01_AB01	85	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	0.5	1	264.7
AN411.0-24_01_AB01	103	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	4	1	163.4
AN411.0-24_01_AB01	122	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	8	1	27.3
AN411.0-24_01_AB01	135	256	2	recovery	20	F	Plasma	n.a.	1	16-Jul-2024	12	1	7
AN411.0-24_01_AB03	166	256	2	recovery	20	F	Plasma	n.a.	2	17-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	170	256	2	recovery	20	F	Plasma	n.a.	3	18-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	179	256	2	recovery	20	F	Plasma	n.a.	4	19-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	180	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	61	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	3,501.60
AN411.0-24_01_AB03	75	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,218.60
AN411.0-24_01_AB01	174	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	154.5
AN411.0-24_01_AB01	187	301	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	15.2
AN411.0-24_01_AB03	192	301	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	181	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	254	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	456.8
AN411.0-24_01_AB03	76	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,082.70
AN411.0-24_01_AB01	175	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	296.5
AN411.0-24_01_AB01	188	302	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	125.1
AN411.0-24_01_AB03	193	302	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	26
AN411.0-24_01_AB03	182	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	62	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	4,874.00
AN411.0-24_01_AB03	77	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,816.10
AN411.0-24_01_AB01	176	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	99.1
AN411.0-24_01_AB01	189	303	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	17.8
AN411.0-24_01_AB03	194	303	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	183	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	63	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	3,944.90
AN411.0-24_01_AB03	78	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	1,538.90
AN411.0-24_01_AB01	177	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	139
AN411.0-24_01_AB01	190	304	3	core	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	33.5
AN411.0-24_01_AB03	195	304	3	core	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	0.5
AN411.0-24_01_AB03	184	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	64	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	4,612.80
AN411.0-24_01_AB03	79	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	4	1	3,000.10
AN411.0-24_01_AB01	178	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	8	1	141.8
AN411.0-24_01_AB01	191	305	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	12	1	30.6
AN411.0-24_01_AB03	196	305	3	recovery	60	M	Plasma	n.a.	2	18-Jul-2024	24	1	1.2
AN411.0-24_01_AB03	209	305	3	recovery	60	M	Plasma	n.a.	3	19-Jul-2024	48	1	0.5
AN411.0-24_01_AB03	213	305	3	recovery	60	M	Plasma	n.a.	4	20-Jul-2024	72	1	0.5
AN411.0-24_01_AB03	185	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0	1	0.5
AN411.0-24_01_AB03	70	306	3	recovery	60	M	Plasma	n.a.	1	17-Jul-2024	0.5	1	3,593.70
