study_id	qpcr_id	region	well	sample_id	sample_group	target	control	target_ct	control_ct	delta_ct	twoddct	mincol	platecolincrement	biorep
CMR-1313	JES0013	VC	I12		2440-exNA	GFAP	TBP	18.418766021728516	26.189111709594727	-7.770345687866211	1.0536194916069517	11	1	CMR-1313-JES0013-I11-12
CMR-1313	JES0013	VC	J11		2440-exNA	GFAP	TBP	19.735158920288086	27.275781631469727	-7.540622711181641	0.8985252575873022	11	1	CMR-1313-JES0013-J11-12
CMR-1313	JES0013	VC	J12		2440-exNA	GFAP	TBP	20.096176147460938	27.665019989013672	-7.568843841552734	0.9162747028122108	11	1	CMR-1313-JES0013-J11-12
CMR-1313	JES0013	VC	K11		2440-exNA	GFAP	TBP	19.064540863037109	26.448341369628906	-7.383800506591797	0.8059759857477627	11	1	CMR-1313-JES0013-K11-12
CMR-1313	JES0013	VC	K12		2440-exNA	GFAP	TBP	19.389810562133789	26.703058242797852	-7.3132476806640625	0.7675091915363801	11	1	CMR-1313-JES0013-K11-12
CMR-1313	JES0013	VC	L11		2440-exNA	GFAP	TBP	19.518743515014648	26.787696838378906	-7.268953323364258	0.7443028038502699	11	1	CMR-1313-JES0013-L11-12
CMR-1313	JES0013	VC	L12		2440-exNA	GFAP	TBP	19.802419662475586	27.036785125732422	-7.234365463256836	0.726670737192704	11	1	CMR-1313-JES0013-L11-12
CMR-1313	JES0013	VC	M11		2440-exNA	GFAP	TBP	18.717147827148438	26.620410919189453	-7.903263092041016	1.1553030554567807	11	1	CMR-1313-JES0013-M11-12
CMR-1313	JES0013	VC	M12		2440-exNA	GFAP	TBP	19.026142120361328	26.936115264892578	-7.90997314453125	1.1606889476421582	11	1	CMR-1313-JES0013-M11-12
CMR-1313	JES0013	VC	N11		2440-exNA	GFAP	TBP	19.175769805908203	26.662567138671875	-7.486797332763672	0.8656199084062208	11	1	CMR-1313-JES0013-N11-12
CMR-1313	JES0013	VC	N12		2440-exNA	GFAP	TBP	19.579996109008789	26.990758895874023	-7.410762786865234	0.8211803662570148	11	1	CMR-1313-JES0013-N11-12
CMR-1313	JES0013	VC	P1		no lysate	GFAP	TBP	Undetermined	Undetermined			1	1	CMR-1313-JES0013-P1-2
CMR-1313	JES0013	VC	P2		no lysate	GFAP	TBP	Undetermined	Undetermined			1	1	CMR-1313-JES0013-P1-2
CMR-1313	JES0013	VC	P3		no lysate	GFAP	TBP	Undetermined	Undetermined			1	1	CMR-1313-JES0013-P3-4
CMR-1313	JES0013	VC	P4		no lysate	GFAP	TBP	Undetermined	Undetermined			1	1	CMR-1313-JES0013-P3-4
CMR-1313	JES0013	VC	A4		saline	IBA1	TBP	23.64448356628418	27.044301986694336	-3.3998184204101562	0.993395345211427	4	2	CMR-1313-JES0013-A4-5
CMR-1313	JES0013	VC	A5		saline	IBA1	TBP	23.790451049804688	27.147983551025391	-3.357532501220703	0.9647011374860828	4	2	CMR-1313-JES0013-A4-5
CMR-1313	JES0013	VC	B4		saline	IBA1	TBP	24.001134872436523	27.746791839599609	-3.745656967163086	1.2624956688865594	4	2	CMR-1313-JES0013-B4-5
CMR-1313	JES0013	VC	B5		saline	IBA1	TBP	23.383867263793945	27.014638900756836	-3.6307716369628906	1.1658588303536086	4	2	CMR-1313-JES0013-B4-5
CMR-1313	JES0013	VC	C4		saline	IBA1	TBP	24.041643142700195	27.644163131713867	-3.602519989013672	1.1432504289273884	4	2	CMR-1313-JES0013-C4-5
CMR-1313	JES0013	VC	C5		saline	IBA1	TBP	23.469400405883789	26.991544723510742	-3.522144317626953	1.0812992082311046	4	2	CMR-1313-JES0013-C4-5
CMR-1313	JES0013	VC	D4		saline	IBA1	TBP	24.242660522460938	27.594732284545898	-3.352071762084961	0.9610565530336199	4	2	CMR-1313-JES0013-D4-5
CMR-1313	JES0013	VC	D5		saline	IBA1	TBP	23.677263259887695	26.993753433227539	-3.3164901733398438	0.9376436543665777	4	2	CMR-1313-JES0013-D4-5
CMR-1313	JES0013	VC	E4		saline	IBA1	TBP	23.820066452026367	27.007625579833984	-3.187559127807617	0.857483371257804	4	2	CMR-1313-JES0013-E4-5
CMR-1313	JES0013	VC	E5		saline	IBA1	TBP	23.997076034545898	27.213029861450195	-3.215953826904297	0.8745272829855842	4	2	CMR-1313-JES0013-E4-5
CMR-1313	JES0013	VC	F4		saline	IBA1	TBP	24.366037368774414	27.663202285766602	-3.2971649169921875	0.9251674336459834	4	2	CMR-1313-JES0013-F4-5
