study_id	animal	genotype	sex	tx	dose_dio	dosing_regimen	icv_date	harvest_date	days_harvest
CMR-1871	97832.2	Tg26372	M	saline	0	0	2022-03-21	2022-04-20	30
CMR-1871	97832.3	Tg26372	M	saline	0	0	2022-03-21	2022-04-20	30
CMR-1871	97832.4	Tg26372	M	saline	0	0	2022-03-21	2022-04-20	30
CMR-1871	97836.1	Tg26372	F	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97836.2	Tg26372	F	fixed tail-exNA	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97836.3	Tg26372	F	fixed tail-hiPS	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	97836.4	Tg26372	F	fixed tail-hiPS	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	95040.1	Tg26372	F	fixed tail-hiPS	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	96725.1	Tg26372	M	fixed tail-hiPS	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	87022.2	Tg26372	M	fixed tail-hiPS	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	87022.3	Tg26372	M	fixed tail-hiPS	0.2	0	2022-03-21	2022-04-20	30
CMR-1871	87021.1	Tg26372	M	fixed tail-hiPS	0.2	0	2022-03-22	2022-04-22	31
CMR-1871	87021.2	Tg26372	M	fixed tail-hiPS	0.2	0	2022-03-22	2022-04-22	31
CMR-1871	87021.3	Tg26372	M	matched tail-hiPS	0.2	0	2022-03-22	2022-04-22	31
CMR-1871	87019.1	Tg26372	M	fixed tail-hiPS	1	0	2022-03-22	2022-04-22	31
CMR-1871	87019.2	Tg26372	M	fixed tail-hiPS	1	0	2022-03-22	2022-04-22	31
CMR-1871	87019.3	Tg26372	M	fixed tail-hiPS	1	0	2022-03-22	2022-04-22	31
CMR-1871	87019.4	Tg26372	M	fixed tail-hiPS	1	0	2022-03-22	2022-04-22	31
CMR-1871	87019.5	Tg26372	M	fixed tail-hiPS	1	0	2022-03-22	2022-04-22	31
CMR-1871	97827.1	Tg26372	F	fixed tail-hiPS	1	0	2022-03-22	2022-04-22	31
CMR-1871	97827.2	Tg26372	F	fixed tail-hiPS	1	0	2022-03-22	2022-04-22	31
CMR-1871	97827.3	Tg26372	F	fixed tail-hiPS	5	0	2022-03-22	2022-04-22	31
CMR-1871	97827.4	Tg26372	F	fixed tail-hiPS	5	0	2022-03-22	2022-04-22	31
CMR-1871	97839.1	Tg26372	M	fixed tail-hiPS	5	0	2022-03-22	2022-04-22	31
CMR-1871	97839.2	Tg26372	M	fixed tail-hiPS	5	0	2022-03-22	2022-04-22	31
CMR-1871	95041.1	Tg26372	F	fixed tail-hiPS	5	0	2022-03-22	2022-04-25	34
CMR-1871	87025.1	Tg26372	F	matched tail-hiPS	0.2	0	2022-03-22	2022-04-25	34
CMR-1871	87025.2	Tg26372	F	matched tail-hiPS	0.2	0	2022-03-22	2022-04-25	34
CMR-1871	87023.1	Tg26372	F	matched tail-hiPS	0.2	0	2022-03-22	2022-04-25	34
CMR-1871	95042.1	Tg26372	M	matched tail-hiPS	0.2	0	2022-03-22	2022-04-25	34
CMR-1871	95042.2	Tg26372	M	matched tail-hiPS	0.2	0	2022-03-22	2022-04-25	34
CMR-1871	87028.1	Tg26372	F	matched tail-hiPS	0.2	0	2022-03-22	2022-04-25	34
CMR-1871	87028.2	Tg26372	F	matched tail-hiPS	0.2	0	2022-03-22	2022-04-25	34
CMR-1871	87028.3	Tg26372	F	matched tail-hiPS	1	0	2022-03-22	2022-04-25	34
CMR-1871	87026.1	Tg26372	M	matched tail-hiPS	1	0	2022-03-22	2022-04-25	34
CMR-1871	87026.2	Tg26372	M	matched tail-hiPS	1	0	2022-03-22	2022-04-25	34
CMR-1871	87026.3	Tg26372	M	matched tail-hiPS	1	0	2022-03-22	2022-04-25	34
CMR-1871	87026.4	Tg26372	M	matched tail-hiPS	1	0	2022-03-22	2022-04-25	34
