run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y	hours
AN411.0-24_01_AB03	133	156	1	0	Plasma	2	1	0.5	5e-4	0.001	1	#fbb4b9	4	48
AN411.0-24_01_AB03	137	156	1	0	Plasma	3	1	0.5	5e-4	0.001	1	#fbb4b9	4	72
AN411.0-24_01_AB03	138	201	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	74	201	2	20	Plasma	0.020833333333333332	1	212.2	0.2122	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	92	201	2	20	Plasma	0.16666666666666666	1	178.5	0.1785	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	105	201	2	20	Plasma	0.3333333333333333	1	51.3	0.0513	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	124	201	2	20	Plasma	0.5	1	6.5	0.0065	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	155	201	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	139	202	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	75	202	2	20	Plasma	0.020833333333333332	1	95	0.095	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	93	202	2	20	Plasma	0.16666666666666666	1	143.4	0.1434	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	106	202	2	20	Plasma	0.3333333333333333	1	49.1	0.049100000000000005	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	125	202	2	20	Plasma	0.5	1	13	0.013	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	156	202	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	140	203	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	76	203	2	20	Plasma	0.020833333333333332	1	291	0.291	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	94	203	2	20	Plasma	0.16666666666666666	1	119.6	0.1196	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	107	203	2	20	Plasma	0.3333333333333333	1	26.5	0.0265	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	126	203	2	20	Plasma	0.5	1	5	0.005	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	157	203	2	20	Plasma	1	1	0.5	5e-4	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	141	204	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	77	204	2	20	Plasma	0.020833333333333332	1	47.5	0.0475	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	95	204	2	20	Plasma	0.16666666666666666	1	144.6	0.1446	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	108	204	2	20	Plasma	0.3333333333333333	1	69.2	0.0692	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	127	204	2	20	Plasma	0.5	1	50.6	0.0506	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	158	204	2	20	Plasma	1	1	3.6	0.0036	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	142	205	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	78	205	2	20	Plasma	0.020833333333333332	1	112.8	0.1128	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	96	205	2	20	Plasma	0.16666666666666666	1	197.8	0.1978	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	109	205	2	20	Plasma	0.3333333333333333	1	82.1	0.08209999999999999	0.001	2	#f768a1	3	8
AN411.0-24_01_AB01	128	205	2	20	Plasma	0.5	1	47.8	0.047799999999999995	0.001	2	#f768a1	3	12
AN411.0-24_01_AB03	159	205	2	20	Plasma	1	1	1	0.001	0.001	2	#f768a1	3	24
AN411.0-24_01_AB03	167	205	2	20	Plasma	2	1	0.5	5e-4	0.001	2	#f768a1	3	48
AN411.0-24_01_AB03	176	205	2	20	Plasma	3	1	0.5	5e-4	0.001	2	#f768a1	3	72
AN411.0-24_01_AB03	143	206	2	20	Plasma	0	1	0.5	5e-4	0.001	2	#f768a1	3	0
AN411.0-24_01_AB01	79	206	2	20	Plasma	0.020833333333333332	1	411.8	0.4118	0.001	2	#f768a1	3	0.5
AN411.0-24_01_AB01	97	206	2	20	Plasma	0.16666666666666666	1	205.5	0.2055	0.001	2	#f768a1	3	4
AN411.0-24_01_AB01	110	206	2	20	Plasma	0.3333333333333333	1	12.4	0.0124	0.001	2	#f768a1	3	8
