animal_id	tiss_disp	dose_mg	nominal_timepoint	concentration_ug_g	lloq_ug_g
101	Thalamus	0	1	0.02	0.02
102	Thalamus	0	1	0.02	0.02
103	Thalamus	0	1	0.02	0.02
104	Thalamus	0	1	0.02	0.02
105	Thalamus	0	28	0.02	0.02
106	Thalamus	0	28	0.02	0.02
151	Thalamus	0	1	0.02	0.02
152	Thalamus	0	1	0.02	0.02
153	Thalamus	0	1	0.02	0.02
154	Thalamus	0	1	0.02	0.02
155	Thalamus	0	28	0.02	0.02
156	Thalamus	0	28	0.02	0.02
201	Thalamus	20	1	0.02	0.02
202	Thalamus	20	1	0.02	0.02
203	Thalamus	20	1	0.02	0.02
204	Thalamus	20	1	0.5072	0.02
205	Thalamus	20	28	2.4442	0.02
206	Thalamus	20	28	0.1024	0.02
251	Thalamus	20	1	0.0316	0.02
252	Thalamus	20	1	0.033600000000000005	0.02
253	Thalamus	20	1	0.028300000000000002	0.02
254	Thalamus	20	1	0.0684	0.02
255	Thalamus	20	28	0.1082	0.02
256	Thalamus	20	28	0.02	0.02
301	Thalamus	60	1	0.0464	0.02
303	Thalamus	60	1	0.1071	0.02
304	Thalamus	60	1	0.2064	0.02
351	Thalamus	60	1	0.0207	0.02
353	Thalamus	60	1	0.0345	0.02
354	Thalamus	60	1	0.0291	0.02
302	Thalamus	60	1	0.7045	0.02
305	Thalamus	60	28	0.0912	0.02
306	Thalamus	60	28	0.044700000000000004	0.02
352	Thalamus	60	1	2.8686	0.02
355	Thalamus	60	28	0.4372	0.02
356	Thalamus	60	28	0.30739999999999995	0.02
402	Thalamus	200	1	0.1232	0.02
403	Thalamus	200	1	0.039700000000000006	0.02
404	Thalamus	200	1	0.2243	0.02
406	Thalamus	200	28	0.032100000000000004	0.02
451	Thalamus	200	1	0.1618	0.02
452	Thalamus	200	1	0.0589	0.02
456	Thalamus	200	28	0.08170000000000001	0.02
401	Thalamus	200	1	8.607700000000001	0.02
405	Thalamus	200	28	3.6024000000000003	0.02
453	Thalamus	200	1	1.6441	0.02
454	Thalamus	200	1	3.7894	0.02
455	Thalamus	200	28	4.6443	0.02
101	Caudate	0	1	0.02	0.02
102	Caudate	0	1	0.02	0.02
103	Caudate	0	1	0.02	0.02
104	Caudate	0	1	0.02	0.02
105	Caudate	0	28	0.02	0.02
106	Caudate	0	28	0.02	0.02
151	Caudate	0	1	0.02	0.02
152	Caudate	0	1	0.02	0.02
153	Caudate	0	1	0.02	0.02
154	Caudate	0	1	0.02	0.02
155	Caudate	0	28	0.02	0.02
156	Caudate	0	28	0.02	0.02
201	Caudate	20	1	0.02	0.02
202	Caudate	20	1	0.026699999999999998	0.02
203	Caudate	20	1	0.02	0.02
204	Caudate	20	1	0.1743	0.02
205	Caudate	20	28	1.429	0.02
206	Caudate	20	28	0.0575	0.02
251	Caudate	20	1	0.030699999999999998	0.02
252	Caudate	20	1	0.0343	0.02
253	Caudate	20	1	0.0498	0.02
254	Caudate	20	1	0.2342	0.02
255	Caudate	20	28	0.0255	0.02
256	Caudate	20	28	0.02	0.02
301	Caudate	60	1	0.0847	0.02
303	Caudate	60	1	0.1193	0.02
304	Caudate	60	1	0.38539999999999996	0.02
351	Caudate	60	1	0.0212	0.02
353	Caudate	60	1	0.0287	0.02
354	Caudate	60	1	0.027899999999999998	0.02
302	Caudate	60	1	1.0172	0.02
305	Caudate	60	28	0.1232	0.02
306	Caudate	60	28	0.3948	0.02
352	Caudate	60	1	0.5293	0.02
355	Caudate	60	28	0.261	0.02
356	Caudate	60	28	0.353	0.02
402	Caudate	200	1	0.1114	0.02
403	Caudate	200	1	0.046299999999999994	0.02
404	Caudate	200	1	0.451	0.02
406	Caudate	200	28	0.13269999999999998	0.02
451	Caudate	200	1	0.0727	0.02
452	Caudate	200	1	0.0577	0.02
456	Caudate	200	28	0.0554	0.02
401	Caudate	200	1	21.5884	0.02
405	Caudate	200	28	0.6924	0.02
453	Caudate	200	1	1.5816	0.02
454	Caudate	200	1	2.3432	0.02
455	Caudate	200	28	0.4701	0.02
101	Putamen	0	1	0.02	0.02
102	Putamen	0	1	0.02	0.02
103	Putamen	0	1	0.02	0.02
104	Putamen	0	1	0.02	0.02
105	Putamen	0	28	0.02	0.02
106	Putamen	0	28	0.02	0.02
151	Putamen	0	1	0.02	0.02
152	Putamen	0	1	0.02	0.02
153	Putamen	0	1	0.02	0.02
154	Putamen	0	1	0.02	0.02
155	Putamen	0	28	0.02	0.02
156	Putamen	0	28	0.02	0.02
201	Putamen	20	1	0.02	0.02
202	Putamen	20	1	0.0386	0.02
203	Putamen	20	1	0.02	0.02
204	Putamen	20	1	0.2485	0.02
205	Putamen	20	28	0.5704	0.02
206	Putamen	20	28	0.062	0.02
251	Putamen	20	1	0.03	0.02
252	Putamen	20	1	0.0386	0.02
253	Putamen	20	1	0.045399999999999996	0.02
254	Putamen	20	1	0.13219999999999998	0.02
255	Putamen	20	28	0.0349	0.02
256	Putamen	20	28	0.02	0.02
301	Putamen	60	1	0.0996	0.02
303	Putamen	60	1	0.0839	0.02
304	Putamen	60	1	0.5267999999999999	0.02
351	Putamen	60	1	0.0232	0.02
353	Putamen	60	1	0.0582	0.02
354	Putamen	60	1	0.0325	0.02
302	Putamen	60	1	1.2617	0.02
305	Putamen	60	28	0.0851	0.02
306	Putamen	60	28	0.569	0.02
352	Putamen	60	1	0.4688	0.02
355	Putamen	60	28	0.3598	0.02
356	Putamen	60	28	26.5138	0.02
402	Putamen	200	1	0.1184	0.02
403	Putamen	200	1	0.1052	0.02
404	Putamen	200	1	0.3222	0.02
406	Putamen	200	28	0.048600000000000004	0.02
451	Putamen	200	1	0.0571	0.02
452	Putamen	200	1	0.0582	0.02
456	Putamen	200	28	0.0503	0.02
401	Putamen	200	1	23.817700000000002	0.02
405	Putamen	200	28	6.9317	0.02
453	Putamen	200	1	8.5892	0.02
454	Putamen	200	1	8.8057	0.02
455	Putamen	200	28	2.5242	0.02
