cohort	dpi	mean	sd	n	l95	u95
YB-1682-126	179	0.053036782521405715	0.09490327993641291	8	-0.012727835222479417	0.11880140026529085
YB-1682-126	181	0.05583479019003408	0.09511040065035752	8	-0.01007335488597838	0.12174293526604654
YB-1682-126	184	0.0598948493906397	0.10007924596237913	8	-0.00945652981587429	0.12924622859715368
YB-1682-126	188	0.04049734132113564	0.12069960514438717	8	-0.04314321777731653	0.1241379004195878
YB-1682-126	190	0.03446143958666066	0.12257454565419702	8	-0.05047838699762325	0.11940126617094457
YB-1682-126	193	0.0336836085184648	0.12990494191797905	8	-0.0563359235145858	0.1237031405515154
YB-1682-126	195	0.04430899519358397	0.1149170281870861	8	-0.035324442513212345	0.12394243290038029
YB-1682-126	197	0.0339994758117424	0.12837823749208263	8	-0.05496210402993773	0.12296105565342252
YB-1682-126	200	0.03942244455525101	0.12363489856465272	8	-0.046252169107798335	0.12509705821830036
YB-1682-126	202	0.036747507859289374	0.11632417077445788	8	-0.043861029911821364	0.11735604563040011
YB-1682-126	204	0.036420742098340675	0.11611616247473334	8	-0.04404365327507734	0.11688513747175869
YB-1682-126	207	0.03814679484678164	0.11998273856053412	8	-0.04499700105347497	0.12129059074703825
YB-1682-126	209	0.05638778659940739	0.12931706423295283	7	-0.03941163522705308	0.15218720842586786
YB-1682-126	211	0.03818860953659996	0.1314385835547291	7	-0.05918245579743127	0.1355596748706312
YB-1682-126	214	0.028465700318585956	0.1610120368076955	7	-0.09081368577613337	0.14774508641330528
YB-1682-126	216	0.02570460479602767	0.15743561820884852	7	-0.09092533332358342	0.14233454291563877
YB-1682-126	218	0.023917689069715413	0.15649849758964032	7	-0.09201802037996484	0.13985339851939568
YB-1682-126	221	0.02088573551360611	0.14246599455042852	7	-0.08465455020829069	0.1264260212355029
YB-1682-126	223	0.020920533382445403	0.14410091516928372	7	-0.08583091848328174	0.12767198524817255
YB-1682-126	225	0.007942870303953433	0.141040041240363	7	-0.09654105442284898	0.11242679503075585
YB-1682-126	228	0.012054707413417631	0.13961680141795524	7	-0.09137486649807827	0.11548428132491353
YB-1682-126	230	0.05298775085193064	0.09943921044875616	6	-0.026580188982800138	0.1325556906866614
YB-1682-126	232	0.04947687030308706	0.09309897614221091	6	-0.025017825490740345	0.12397156609691447
YB-1682-126	237	0.033896306893488125	0.08978356264437223	6	-0.037945505590699306	0.10573811937767555
