sequence	concnm	status	n_bioreps	mean	l95	u95
1161	500	not advanced	2	0.9676263024061803	0.7476208671261377	1.1876317376862229
1161	2000	not advanced	3	0.8915775788237232	0.8696371210213064	0.9135180366261401
1489	500	not advanced	3	0.19591341598695558	0.18877914734174125	0.2030476846321699
1489	2000	not advanced	3	0.0983951403554982	0.096106608984629055	0.10068367172636736
1490	500	not advanced	3	0.15129463220749625	0.14703480437743527	0.15555446003755724
1490	2000	not advanced	3	0.11936594644190265	0.1160659097504587	0.1226659831333466
1491	500	advanced	3	0.0828367693900724	0.08172660063591587	0.08394693814422892
1491	2000	advanced	3	0.0626605477374104	0.06181281954114679	0.063508275933674
1492	500	not advanced	3	0.11889940345117861	0.10672539109706497	0.13107341580529225
1492	2000	not advanced	3	0.07605588316108679	0.0750530032501083	0.07705876307206527
1493	500	not advanced	3	0.12019545982812295	0.11234338157469599	0.12804753808154992
1493	2000	not advanced	3	0.07306514766106084	0.07063526279580201	0.07549503252631967
1510	500	not advanced	3	0.6010707657021029	0.5626503272867855	0.6394912041174203
1510	2000	not advanced	3	0.8304294595598011	0.7480640528216189	0.9127948662979832
1535	500	not advanced	3	0.4117531971397091	0.39361868655669446	0.4298877077227237
1535	2000	not advanced	3	0.14767461565053877	0.14251551597124046	0.15283371532983708
1536	500	not advanced	3	1.031188800017879	0.9615472551325455	1.1008303449032126
1536	2000	not advanced	3	0.8918582041756239	0.8651066642257628	0.918609744125485
1537	500	not advanced	3	0.24039610294641925	0.22956794510106016	0.25122426079177834
1537	2000	not advanced	3	0.14686069503127672	0.13827577265941673	0.1554456174031367
1569	500	not advanced	3	0.6824186820926165	0.6457542713462563	0.7190830928389766
1569	2000	not advanced	3	0.8256651942785195	0.7642416825819682	0.8870887059750707
1621	500	not advanced	3	0.2691395432096086	0.25763147083503424	0.28064761558418294
1621	2000	not advanced	3	0.7445213271368974	0.7038797818239787	0.7851628724498162
1622	500	not advanced	3	0.301698102073536	0.2889620465302171	0.31443415761685484
1622	2000	not advanced	3	0.35798350643674604	0.34582712219065914	0.37013989068283293
1660	500	not advanced	3	0.8098732682303444	0.7894009626806598	0.830345573780029
1660	2000	not advanced	3	0.6888890234531139	0.6741928285482518	0.7035852183579759
1682	500	not advanced	3	0.8194446004714545	0.8085703463596265	0.8303188545832825
1682	2000	not advanced	3	0.4426579855305755	0.4331368302426638	0.4521791408184872
2006	500	not advanced	3	0.757121291048594	0.7409762253646348	0.7732663567325533
2006	2000	not advanced	4	0.6285141773081322	0.6057400757402192	0.6512882788760452
2007	500	not advanced	3	0.20277764817037428	0.1966116744449534	0.20894362189579516
2007	2000	not advanced	3	0.08962986051033378	0.08857173856422301	0.09068798245644455
2008	500	not advanced	3	0.2709103553598701	0.2688206779583949	0.2730000327613453
2008	2000	not advanced	3	0.24701995220340628	0.2277750950775857	0.26626480932922686
2009	500	not advanced	3	0.1628343038640537	0.1552642348679176	0.1704043728601898
2009	2000	not advanced	3	0.12854941031170786	0.12524264577020566	0.13185617485321005
2010	500	not advanced	3	0.1229842823979535	0.11749606133074679	0.12847250346516023
2010	2000	not advanced	3	0.07712221255144354	0.07395441937122822	0.08029000573165886
2178	500	not advanced	3	0.5016969278172696	0.4649078914113293	0.5384859642232099
2178	2000	not advanced	3	0.182373913143918	0.17817275351106263	0.18657507277677335
2179	500	not advanced	3	0.18079250227803775	0.16589452051459408	0.19569048404148143
2179	2000	not advanced	3	0.12537630128002825	0.09576340616010535	0.15498919639995112
2180	500	not advanced	3	0.19129566167270487	0.1891041234118226	0.19348719993358715
2180	2000	not advanced	3	0.08062348601316605	0.07554722738458804	0.08569974464174406
2224	500	not advanced	3	0.6938225612319064	0.6759192314336246	0.7117258910301882
2224	2000	not advanced	3	0.7726007431046614	0.7619648389218132	0.7832366472875096
2225	500	not advanced	3	0.22665822899503588	0.21044295044482986	0.2428735075452419
2225	2000	not advanced	3	0.09303981164800888	0.08914432828733196	0.0969352950086858
2226	500	advanced	3	0.13138757438165383	0.12377985825102628	0.13899529051228138
2226	2000	advanced	3	0.07920102699249286	0.07825701026153722	0.0801450437234485
2227	500	not advanced	3	0.5125103007300174	0.48277485270674275	0.5422457487532919
2227	2000	not advanced	3	0.23840455704184219	0.22404976537999188	0.2527593487036925
2228	500	not advanced	3	0.6525161254477346	0.6286929187461074	0.6763393321493618
2228	2000	not advanced	3	0.598845345543346	0.566265242980081	0.631425448106611
2251	500	not advanced	3	0.8454024960894282	0.8209814323936525	0.8698235597852039
2251	2000	not advanced	3	0.5370456353079457	0.49085446830279744	0.5832368023130939
2296	500	not advanced	3	0.7950819076161139	0.77579240596851	0.8143714092637178
2296	2000	not advanced	3	0.6009258105267894	0.5865114490402178	0.615340172013361
2386	500	not advanced	3	0.5513734733280423	0.5284696648595192	0.5742772817965655
2386	2000	not advanced	3	0.38390703825254574	0.37323216038072315	0.3945819161243683
2438	500	not advanced	3	0.10495417412464489	0.0980966936683206	0.11181165458096917
2438	2000	not advanced	3	0.07587204749145773	0.0733168048227509	0.07842729016016457
2439	500	advanced	3	0.04617276119151845	0.04482072470261032	0.04752479768042657
2439	2000	advanced	3	0.03162217707394908	0.03055762604824878	0.03268672809964937
2440	500	advanced	3	0.09666597646075625	0.08923306275965681	0.1040988901618557
2440	2000	advanced	3	0.05128130316110659	0.0503146752697312	0.052247931052481975
2441	500	not advanced	3	0.07192366201334328	0.07064609514714354	0.07320122887954303
