run_id	sample_no	animal_id	group	dose_mg	matrix	nominal_timepoint	lloq	concentration	concentration_ug_g	lloq_ug_g	x	color	dose_y
AN408.0-24_01_AB02	79	260	2	0.3	CSF	1	1	14.3	0.0143	0.001	2	#f768a1	3
AN408.0-24_01_AB01	98	101	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	99	102	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	100	103	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	101	104	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	102	105	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	103	106	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	104	107	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	105	108	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	106	109	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	107	110	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	108	151	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	109	152	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	110	153	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	111	154R	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	112	155	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	113	156R	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	114	157	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	115	158	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	116	159	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	117	160	1	0	CSF	1	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	123	111	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	124	112	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	125	113	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	126	114	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	127	115	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	128	161	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	129	162	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	130	163	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	131	164	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	132	165	1	0	CSF	28	1	BQL	0.001	0.001	1	#fbb4b9	4
AN408.0-24_01_AB01	133	411	4	3	CSF	28	1	BQL	0.001	0.001	4	#7a0177	1
AN408.0-24_01_AB01	134	412	4	3	CSF	28	1	11.5	0.0115	0.001	4	#7a0177	1
AN408.0-24_01_AB01	135	413	4	3	CSF	28	1	1.9	0.0019	0.001	4	#7a0177	1
AN408.0-24_01_AB01	136	414	4	3	CSF	28	1	16.6	0.0166	0.001	4	#7a0177	1
AN408.0-24_01_AB01	137	415	4	3	CSF	28	1	1.6	0.0016	0.001	4	#7a0177	1
AN408.0-24_01_AB01	138	461	4	3	CSF	28	1	3.4	0.0034	0.001	4	#7a0177	1
AN408.0-24_01_AB01	144	462	4	3	CSF	28	1	4.1	0.0040999999999999995	0.001	4	#7a0177	1
AN408.0-24_01_AB01	145	463	4	3	CSF	28	1	21.1	0.0211	0.001	4	#7a0177	1
AN408.0-24_01_AB01	146	464	4	3	CSF	28	1	18.3	0.0183	0.001	4	#7a0177	1
AN408.0-24_01_AB01	147	465	4	3	CSF	28	1	9.7	0.009699999999999999	0.001	4	#7a0177	1
AN408.0-24_01_AB01	148	211	2	0.3	CSF	28	1	1.2	0.0012	0.001	2	#f768a1	3
AN408.0-24_01_AB01	149	212	2	0.3	CSF	28	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB01	150	213	2	0.3	CSF	28	1	2.6	0.0026	0.001	2	#f768a1	3
AN408.0-24_01_AB01	151	214	2	0.3	CSF	28	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB01	152	215	2	0.3	CSF	28	1	2.6	0.0026	0.001	2	#f768a1	3
AN408.0-24_01_AB01	153	261	2	0.3	CSF	28	1	BQL	0.001	0.001	2	#f768a1	3
AN408.0-24_01_AB01	154	262	2	0.3	CSF	28	1	3.5	0.0035	0.001	2	#f768a1	3
AN408.0-24_01_AB01	155	263	2	0.3	CSF	28	1	2.3	0.0023	0.001	2	#f768a1	3
AN408.0-24_01_AB01	156	264	2	0.3	CSF	28	1	1.6	0.0016	0.001	2	#f768a1	3
AN408.0-24_01_AB01	157	265R	2	0.3	CSF	28	1	3.7	0.0037	0.001	2	#f768a1	3
AN408.0-24_01_AB01	158	311	3	1	CSF	28	1	6.9	0.006900000000000001	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	159	312	3	1	CSF	28	1	5.6	0.0056	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	160	313	3	1	CSF	28	1	9	0.009	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	161	314	3	1	CSF	28	1	1.2	0.0012	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	162	315	3	1	CSF	28	1	5.5	0.0055	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	163	361	3	1	CSF	28	1	6	0.006	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	164	362	3	1	CSF	28	1	5.6	0.0056	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	165	363	3	1	CSF	28	1	13.5	0.0135	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	166	364	3	1	CSF	28	1	7.5	0.0075	0.001	3	#c51b8a	2
AN408.0-24_01_AB01	167	365	3	1	CSF	28	1	BQL	0.001	0.001	3	#c51b8a	2
